p(the | <s>) = 0.04022112085398399
p(avenue | serpentine) = 0.017857142857142856
p(st | avenue) = 0.006373117033603708
p(john | st) = 0.00641025641025641
p(s | john) = 0.006373117033603708
p(wood | s) = 0.005926724137931034
p(holmes | wood) = 0.006485849056603773
p(took | holmes) = 0.005350194552529183
p(note | a) = 0.003155479059093517
p(of | note) = 0.006228765571913929
p(engaged | all) = 0.005741127348643006
p(for | engaged) = 0.006447831184056271
p(evening | the) = 0.002133436772692009
p(i | evening) = 0.006447831184056271
p(guessed | i) = 0.0030170049369171695
p(as | guessed) = 0.006485849056603773
p(much | as) = 0.005198487712665407
p(then | much) = 0.0063364055299539165
p(row | the) = 0.002133436772692009
p(broke | row) = 0.006485849056603773
p(out | broke) = 0.006485849056603773
p(i | out) = 0.005832449628844114
p(a | had) = 0.009562841530054645
p(moist | little) = 0.006159014557670772
p(red | moist) = 0.006485849056603773
p(paint | red) = 0.006485849056603773
p(in | paint) = 0.006485849056603773
p(palm | the) = 0.002133436772692009
p(of | palm) = 0.006485849056603773
p(hand | my) = 0.004790940766550522
p(</s> | hand) = 0.006300114547537227
p(watched | she) = 0.004811898512685914
p(us | watched) = 0.006447831184056271
p(with | us) = 0.006264236902050114
p(sardonic | a) = 0.003155479059093517
p(eye | sardonic) = 0.006485849056603773
p(as | eye) = 0.006447831184056271
p(stepped | we) = 0.005595116988809766
p(from | stepped) = 0.006485849056603773
p(brougham | the) = 0.002133436772692009
p(</s> | brougham) = 0.00641025641025641
p(but | am) = 0.005991285403050109
p(thirty | but) = 0.0052231718898385565
p(now | thirty) = 0.006485849056603773
p(recovered | be) = 0.005198487712665407
p(we | recovered) = 0.006485849056603773
p(tried | have) = 0.005032021957913998
p(and | tried) = 0.006485849056603773
p(failed | and) = 0.002984264785675529
p(your | failed) = 0.006485849056603773
p(must | majesty) = 0.005991285403050109
p(pay | must) = 0.00605726872246696
p(</s> | pay) = 0.006447831184056271
p(into | and) = 0.002984264785675529
p(her | into) = 0.005771248688352571
p(sitting | her) = 0.005376344086021505
p(which | room) = 0.011375947995666305
p(room | very) = 0.00580168776371308
p(suspected | i) = 0.0030170049369171695
p(</s> | suspected) = 0.006485849056603773
p(was | lodge) = 0.006193693693693694
p(open | was) = 0.004110612855007474
p(and | open) = 0.011824324324324323
p(an | and) = 0.002984264785675529
p(elderly | an) = 0.005741127348643006
p(woman | elderly) = 0.006485849056603773
p(stood | woman) = 0.006090808416389811
p(upon | stood) = 0.00641025641025641
p(</s> | steps) = 0.0063364055299539165
p(darlington | the) = 0.002133436772692009
p(substitution | darlington) = 0.006485849056603773
p(scandal | substitution) = 0.006485849056603773
p(it | scandal) = 0.00641025641025641
p(of | was) = 0.004110612855007474
p(use | of) = 0.003102086858432036
p(to | use) = 0.00641025641025641
p(and | me) = 0.005456349206349206
p(also | and) = 0.002984264785675529
p(in | also) = 0.00641025641025641
p(arnsworth | the) = 0.002133436772692009
p(castle | arnsworth) = 0.006485849056603773
p(business | castle) = 0.006485849056603773
p(</s> | business) = 0.00641025641025641
p(seldom | it) = 0.0037593984962406017
p(was | seldom) = 0.00641025641025641
p(but | was) = 0.007847533632286996
p(he | but) = 0.009971509971509971
p(glad | was) = 0.004110612855007474
p(i | glad) = 0.006447831184056271
p(think | i) = 0.008502468458584751
p(to | think) = 0.006264236902050114
p(me | see) = 0.006159014557670772
p(watson | think) = 0.006264236902050114
p(that | watson) = 0.006300114547537227
p(put | have) = 0.005032021957913998
p(on | put) = 0.006485849056603773
p(seven | on) = 0.005711318795430945
p(and | seven) = 0.006373117033603708
p(half | a) = 0.003155479059093517
p(pounds | half) = 0.0063364055299539165
p(since | pounds) = 0.006447831184056271
p(i | since) = 0.006373117033603708
p(you | saw) = 0.006300114547537227
p(seven | you) = 0.004110612855007474
p(i | seven) = 0.006373117033603708
p(once | <s>) = 0.0020968356843309188
p(we | once) = 0.006300114547537227
p(diverted | we) = 0.005595116988809766
p(her | diverted) = 0.006485849056603773
p(luggage | her) = 0.005376344086021505
p(when | luggage) = 0.006485849056603773
p(travelled | she) = 0.004811898512685914
p(</s> | travelled) = 0.006485849056603773
p(your | and) = 0.002984264785675529
p(address | your) = 0.005511022044088176
p(had | address) = 0.006300114547537227
p(given | been) = 0.005652620760534429
p(me | given) = 0.006447831184056271
p(becomes | photograph) = 0.005926724137931034
p(a | becomes) = 0.006485849056603773
p(double | a) = 0.003155479059093517
p(edged | double) = 0.00641025641025641
p(weapon | edged) = 0.006485849056603773
p(now | weapon) = 0.006447831184056271
p(</s> | now) = 0.016976998904709748
p(walked | he) = 0.004407051282051282
p(swiftly | walked) = 0.00641025641025641
p(and | swiftly) = 0.006485849056603773
p(silence | in) = 0.0037722908093278463
p(for | silence) = 0.006447831184056271
p(few | some) = 0.006090808416389811
p(minutes | few) = 0.00641025641025641
p(until | minutes) = 0.006193693693693694
p(we | until) = 0.012166859791425259
p(turned | had) = 0.005009107468123861
p(down | turned) = 0.00641025641025641
p(one | down) = 0.0058949624866023575
p(quiet | the) = 0.002133436772692009
p(streets | quiet) = 0.006447831184056271
p(which | streets) = 0.006447831184056271
p(lead | which) = 0.009831460674157303
p(towards | lead) = 0.006447831184056271
p(the | towards) = 0.006485849056603773
p(edgeware | the) = 0.002133436772692009
p(road | edgeware) = 0.006485849056603773
p(</s> | road) = 0.006447831184056271
p(that | not) = 0.00510204081632653
p(felt | he) = 0.004407051282051282
p(any | felt) = 0.006447831184056271
p(emotion | any) = 0.00641025641025641
p(akin | emotion) = 0.006447831184056271
p(to | akin) = 0.0123094958968347
p(love | to) = 0.003093363329583802
p(for | love) = 0.0063364055299539165
p(irene | for) = 0.005350194552529183
p(</s> | adler) = 0.011824324324324323
p(is | he) = 0.008413461538461538
p(mr | a) = 0.003155479059093517
p(godfrey | mr) = 0.01195899772209567
p(norton | godfrey) = 0.0123094958968347
p(of | norton) = 0.006373117033603708
p(inner | the) = 0.002133436772692009
p(temple | inner) = 0.006485849056603773
p(only | it) = 0.007177033492822967
p(remains | only) = 0.006300114547537227
p(therefore | remains) = 0.006485849056603773
p(to | therefore) = 0.006485849056603773
p(discover | to) = 0.003093363329583802
p(what | discover) = 0.006485849056603773
p(is | what) = 0.01609553478712357
p(wanted | is) = 0.004610226320201173
p(by | wanted) = 0.00641025641025641
p(this | by) = 0.005681818181818182
p(german | this) = 0.005566801619433198
p(writes | who) = 0.005711318795430945
p(upon | writes) = 0.006485849056603773
p(bohemian | upon) = 0.005832449628844114
p(paper | bohemian) = 0.00641025641025641
p(and | paper) = 0.0063364055299539165
p(prefers | and) = 0.002984264785675529
p(wearing | prefers) = 0.006485849056603773
p(a | wearing) = 0.006485849056603773
p(mask | a) = 0.006024096385542168
p(to | mask) = 0.006373117033603708
p(showing | to) = 0.003093363329583802
p(his | showing) = 0.006485849056603773
p(doctor | way) = 0.006300114547537227
p(i | doctor) = 0.0063364055299539165
p(want | shall) = 0.006228765571913929
p(your | want) = 0.0123094958968347
p(co | your) = 0.005511022044088176
p(operation | co) = 0.006447831184056271
p(i | operation) = 0.006485849056603773
p(delighted | be) = 0.005198487712665407
p(you | delighted) = 0.006485849056603773
p(don | you) = 0.004110612855007474
p(t | don) = 0.0123094958968347
p(mind | t) = 0.006373117033603708
p(breaking | mind) = 0.006373117033603708
p(the | breaking) = 0.006485849056603773
p(law | the) = 0.002133436772692009
p(not | law) = 0.006485849056603773
p(in | not) = 0.00974025974025974
p(least | the) = 0.002133436772692009
p(nor | least) = 0.006485849056603773
p(running | nor) = 0.006447831184056271
p(a | running) = 0.006485849056603773
p(chance | a) = 0.003155479059093517
p(of | chance) = 0.006447831184056271
p(arrest | of) = 0.003102086858432036
p(not | arrest) = 0.006485849056603773
p(cause | good) = 0.00605726872246696
p(oh | cause) = 0.006447831184056271
p(the | oh) = 0.0063364055299539165
p(cause | the) = 0.002133436772692009
p(is | cause) = 0.006447831184056271
p(excellent | is) = 0.008801341156747694
p(then | excellent) = 0.00641025641025641
p(your | am) = 0.005991285403050109
p(man | your) = 0.005511022044088176
p(i | man) = 0.00580168776371308
p(sure | was) = 0.004110612855007474
p(might | i) = 0.0030170049369171695
p(rely | might) = 0.006228765571913929
p(on | rely) = 0.0123094958968347
p(you | on) = 0.005711318795430945
p(but | you) = 0.004110612855007474
p(what | but) = 0.0052231718898385565
p(it | is) = 0.012992455993294216
p(you | it) = 0.0037593984962406017
p(wish | you) = 0.007847533632286996
p(when | wish) = 0.006373117033603708
p(mrs | when) = 0.005741127348643006
p(turner | mrs) = 0.006485849056603773
p(has | turner) = 0.006485849056603773
p(brought | has) = 0.005926724137931034
p(in | brought) = 0.006447831184056271
p(tray | the) = 0.002133436772692009
p(i | tray) = 0.006485849056603773
p(make | will) = 0.005681818181818182
p(clear | it) = 0.0037593984962406017
p(</s> | you) = 0.019058295964125557
p(so | <s>) = 0.004003049942813572
p(accustomed | so) = 0.005926724137931034
p(was | accustomed) = 0.00641025641025641
p(to | i) = 0.00575973669775096
p(invariable | his) = 0.004424778761061947
p(success | invariable) = 0.006485849056603773
p(that | success) = 0.006485849056603773
p(possibility | very) = 0.00580168776371308
p(of | possibility) = 0.006485849056603773
p(failing | his) = 0.004424778761061947
p(had | failing) = 0.006485849056603773
p(ceased | had) = 0.005009107468123861
p(to | ceased) = 0.006485849056603773
p(enter | to) = 0.003093363329583802
p(into | enter) = 0.006485849056603773
p(head | my) = 0.004790940766550522
p(</s> | head) = 0.006485849056603773
p(this | left) = 0.006264236902050114
p(with | morning) = 0.0063364055299539165
p(husband | her) = 0.010263929618768328
p(by | husband) = 0.00641025641025641
p(5 | the) = 0.002133436772692009
p(15 | 5) = 0.006485849056603773
p(train | 15) = 0.006485849056603773
p(from | train) = 0.006485849056603773
p(charing | from) = 0.005376344086021505
p(cross | charing) = 0.006485849056603773
p(for | cross) = 0.006485849056603773
p(continent | the) = 0.002133436772692009
p(what | continent) = 0.006485849056603773
p(sherlock | what) = 0.005711318795430945
p(staggered | holmes) = 0.005350194552529183
p(back | staggered) = 0.006485849056603773
p(white | back) = 0.006264236902050114
p(with | white) = 0.00641025641025641
p(chagrin | with) = 0.004986400725294651
p(and | chagrin) = 0.006485849056603773
p(surprise | and) = 0.002984264785675529
p(</s> | surprise) = 0.006447831184056271
p(oh | <s>) = 0.0020968356843309188
p(she | oh) = 0.0063364055299539165
p(turned | has) = 0.005926724137931034
p(all | turned) = 0.00641025641025641
p(the | all) = 0.010960334029227557
p(men | the) = 0.002133436772692009
p(s | men) = 0.01195899772209567
p(heads | s) = 0.005926724137931034
p(down | heads) = 0.006485849056603773
p(that | in) = 0.007201646090534979
p(part | that) = 0.004270186335403727
p(let | <s>) = 0.0020968356843309188
p(me | let) = 0.00641025641025641
p(see | me) = 0.005456349206349206
p(said | see) = 0.006159014557670772
p(loves | lady) = 0.006264236902050114
p(her | loves) = 0.006485849056603773
p(she | husband) = 0.00641025641025641
p(love | not) = 0.014378478664192949
p(your | love) = 0.012096774193548387
p(</s> | majesty) = 0.01688453159041394
p(paid | i) = 0.0030170049369171695
p(the | paid) = 0.006485849056603773
p(and | man) = 0.00580168776371308
p(hurried | and) = 0.002984264785675529
p(into | hurried) = 0.00641025641025641
p(church | the) = 0.00795190069821567
p(</s> | church) = 0.006373117033603708
p(sent | i) = 0.0030170049369171695
p(john | sent) = 0.00641025641025641
p(the | john) = 0.006373117033603708
p(coachman | the) = 0.002133436772692009
p(to | coachman) = 0.006485849056603773
p(watch | to) = 0.005905511811023622
p(you | watch) = 0.012166859791425259
p(ran | you) = 0.004110612855007474
p(upstairs | ran) = 0.006447831184056271
p(got | upstairs) = 0.006485849056603773
p(into | got) = 0.006447831184056271
p(walking | my) = 0.004790940766550522
p(clothes | walking) = 0.006485849056603773
p(as | clothes) = 0.006447831184056271
p(call | i) = 0.0030170049369171695
p(them | call) = 0.006228765571913929
p(came | and) = 0.002984264785675529
p(down | came) = 0.006373117033603708
p(just | down) = 0.0058949624866023575
p(as | just) = 0.006124721603563474
p(you | as) = 0.005198487712665407
p(departed | you) = 0.004110612855007474
p(</s> | departed) = 0.006485849056603773
p(boots | <s>) = 0.0020968356843309188
p(which | boots) = 0.006485849056603773
p(extended | which) = 0.005149812734082397
p(halfway | extended) = 0.006485849056603773
p(up | halfway) = 0.006485849056603773
p(his | up) = 0.005741127348643006
p(calves | his) = 0.004424778761061947
p(and | calves) = 0.006485849056603773
p(which | and) = 0.002984264785675529
p(trimmed | were) = 0.005771248688352571
p(at | trimmed) = 0.006485849056603773
p(tops | the) = 0.002133436772692009
p(with | tops) = 0.006485849056603773
p(rich | with) = 0.004986400725294651
p(brown | rich) = 0.006447831184056271
p(fur | brown) = 0.006447831184056271
p(completed | fur) = 0.006485849056603773
p(the | completed) = 0.006485849056603773
p(impression | the) = 0.002133436772692009
p(of | impression) = 0.006485849056603773
p(barbaric | of) = 0.003102086858432036
p(opulence | barbaric) = 0.006485849056603773
p(which | opulence) = 0.006485849056603773
p(suggested | was) = 0.004110612855007474
p(by | suggested) = 0.006485849056603773
p(his | by) = 0.005681818181818182
p(appearance | whole) = 0.006373117033603708
p(</s> | appearance) = 0.006447831184056271
p(suppose | i) = 0.0030170049369171695
p(that | suppose) = 0.006485849056603773
p(watching | been) = 0.005652620760534429
p(the | watching) = 0.006485849056603773
p(habits | the) = 0.002133436772692009
p(and | habits) = 0.006447831184056271
p(perhaps | and) = 0.002984264785675529
p(the | perhaps) = 0.006485849056603773
p(miss | of) = 0.003102086858432036
p(irene | miss) = 0.012237762237762236
p(quite | adler) = 0.006193693693693694
p(so | quite) = 0.023348519362186782
p(but | so) = 0.005926724137931034
p(sequel | the) = 0.002133436772692009
p(was | sequel) = 0.006485849056603773
p(rather | was) = 0.004110612855007474
p(unusual | rather) = 0.006373117033603708
p(</s> | unusual) = 0.006485849056603773
p(very | <s>) = 0.0020968356843309188
p(indeed | very) = 0.00580168776371308
p(did | they) = 0.005991285403050109
p(not | did) = 0.012027491408934707
p(how | know) = 0.006024096385542168
p(to | how) = 0.005958829902491874
p(but | look) = 0.006264236902050114
p(how | but) = 0.014719848053181385
p(will | how) = 0.005958829902491874
p(you | will) = 0.005681818181818182
p(look | you) = 0.004110612855007474
p(i | look) = 0.006264236902050114
p(not | will) = 0.02117768595041322
p(look | not) = 0.00510204081632653
p(what | look) = 0.006264236902050114
p(then | what) = 0.01609553478712357
p(get | will) = 0.005681818181818182
p(her | get) = 0.006373117033603708
p(to | her) = 0.005376344086021505
p(me | show) = 0.006447831184056271
p(but | me) = 0.010416666666666666
p(will | she) = 0.017935258092738403
p(refuse | will) = 0.005681818181818182
p(she | refuse) = 0.006485849056603773
p(able | be) = 0.005198487712665407
p(to | able) = 0.0123094958968347
p(</s> | to) = 0.003093363329583802
p(why | <s>) = 0.004003049942813572
p(should | why) = 0.012027491408934707
p(she | should) = 0.006090808416389811
p(hand | she) = 0.004811898512685914
p(it | hand) = 0.006300114547537227
p(over | it) = 0.0037593984962406017
p(to | over) = 0.006193693693693694
p(anyone | to) = 0.003093363329583802
p(else | anyone) = 0.006485849056603773
p(</s> | else) = 0.00641025641025641
p(this | if) = 0.005771248688352571
p(young | this) = 0.005566801619433198
p(person | young) = 0.00641025641025641
p(should | person) = 0.006373117033603708
p(produce | should) = 0.006090808416389811
p(her | produce) = 0.006485849056603773
p(letters | her) = 0.005376344086021505
p(for | letters) = 0.006485849056603773
p(blackmailing | for) = 0.005350194552529183
p(or | blackmailing) = 0.006485849056603773
p(other | or) = 0.0058949624866023575
p(purposes | other) = 0.006264236902050114
p(how | purposes) = 0.006485849056603773
p(is | how) = 0.005958829902491874
p(she | is) = 0.004610226320201173
p(to | she) = 0.009186351706036745
p(prove | to) = 0.003093363329583802
p(their | prove) = 0.006485849056603773
p(authenticity | their) = 0.006300114547537227
p(there | authenticity) = 0.006485849056603773
p(writing | the) = 0.002133436772692009
p(pooh | writing) = 0.006485849056603773
p(pooh | pooh) = 0.006447831184056271
p(</s> | pooh) = 0.006447831184056271
p(you | yet) = 0.006124721603563474
p(seen | have) = 0.00960658737419945
p(</s> | seen) = 0.006264236902050114
p(your | if) = 0.011017838405036725
p(would | majesty) = 0.005991285403050109
p(condescend | would) = 0.0058949624866023575
p(to | condescend) = 0.006485849056603773
p(state | to) = 0.003093363329583802
p(your | state) = 0.006485849056603773
p(case | your) = 0.005511022044088176
p(he | case) = 0.006228765571913929
p(remarked | he) = 0.012419871794871794
p(i | remarked) = 0.006300114547537227
p(be | should) = 0.006090808416389811
p(better | be) = 0.005198487712665407
p(able | better) = 0.0063364055299539165
p(advise | to) = 0.003093363329583802
p(you | advise) = 0.006485849056603773
p(the | you) = 0.004110612855007474
p(sprang | man) = 0.00580168776371308
p(from | sprang) = 0.006447831184056271
p(chair | his) = 0.004424778761061947
p(and | chair) = 0.006447831184056271
p(paced | and) = 0.002984264785675529
p(in | room) = 0.005958829902491874
p(uncontrollable | in) = 0.0037722908093278463
p(agitation | uncontrollable) = 0.006485849056603773
p(</s> | agitation) = 0.006485849056603773
p(from | <s>) = 0.004003049942813572
p(lower | the) = 0.002133436772692009
p(part | lower) = 0.006485849056603773
p(of | part) = 0.006228765571913929
p(face | the) = 0.002133436772692009
p(he | face) = 0.006300114547537227
p(a | be) = 0.00992438563327032
p(strong | of) = 0.003102086858432036
p(character | strong) = 0.00641025641025641
p(with | character) = 0.00641025641025641
p(thick | a) = 0.003155479059093517
p(hanging | thick) = 0.00641025641025641
p(lip | hanging) = 0.006485849056603773
p(and | lip) = 0.006485849056603773
p(long | a) = 0.006024096385542168
p(straight | long) = 0.0063364055299539165
p(chin | straight) = 0.006485849056603773
p(suggestive | chin) = 0.006485849056603773
p(of | suggestive) = 0.006485849056603773
p(resolution | of) = 0.003102086858432036
p(pushed | resolution) = 0.006485849056603773
p(to | pushed) = 0.006447831184056271
p(length | the) = 0.002133436772692009
p(of | length) = 0.006485849056603773
p(obstinacy | of) = 0.003102086858432036
p(</s> | obstinacy) = 0.006485849056603773
p(say | may) = 0.011075949367088606
p(before | say) = 0.0063364055299539165
p(this | before) = 0.006193693693693694
p(anything | gentleman) = 0.006228765571913929
p(which | anything) = 0.006447831184056271
p(you | which) = 0.005149812734082397
p(to | say) = 0.0063364055299539165
p(the | me) = 0.005456349206349206
p(count | the) = 0.004072924747866563
p(shrugged | count) = 0.006447831184056271
p(his | shrugged) = 0.006485849056603773
p(shoulders | broad) = 0.006447831184056271
p(</s> | shoulders) = 0.006447831184056271
p(herself | is) = 0.004610226320201173
p(the | herself) = 0.006485849056603773
p(delicacy | of) = 0.003102086858432036
p(</s> | delicacy) = 0.006485849056603773
p(bride | the) = 0.002133436772692009
p(gave | bride) = 0.006485849056603773
p(me | gave) = 0.006447831184056271
p(a | me) = 0.005456349206349206
p(sovereign | a) = 0.00889271371199082
p(and | sovereign) = 0.00641025641025641
p(mean | i) = 0.0030170049369171695
p(to | mean) = 0.006447831184056271
p(wear | to) = 0.003093363329583802
p(it | wear) = 0.006447831184056271
p(watch | my) = 0.004790940766550522
p(chain | watch) = 0.006373117033603708
p(in | chain) = 0.006485849056603773
p(memory | in) = 0.0037722908093278463
p(of | memory) = 0.006447831184056271
p(occasion | the) = 0.002133436772692009
p(this | occasion) = 0.006485849056603773
p(very | a) = 0.01176133103843947
p(unexpected | very) = 0.00580168776371308
p(turn | unexpected) = 0.006485849056603773
p(of | turn) = 0.006447831184056271
p(affairs | of) = 0.003102086858432036
p(said | affairs) = 0.006485849056603773
p(and | i) = 0.00575973669775096
p(well | then) = 0.005595116988809766
p(i | well) = 0.006159014557670772
p(my | found) = 0.006228765571913929
p(plans | my) = 0.004790940766550522
p(very | plans) = 0.006447831184056271
p(seriously | very) = 0.00580168776371308
p(menaced | seriously) = 0.006447831184056271
p(</s> | menaced) = 0.006485849056603773
p(facts | the) = 0.002133436772692009
p(are | facts) = 0.006485849056603773
p(briefly | are) = 0.005832449628844114
p(these | briefly) = 0.006485849056603773
p(some | these) = 0.006373117033603708
p(five | some) = 0.006090808416389811
p(years | five) = 0.006300114547537227
p(ago | years) = 0.00641025641025641
p(during | ago) = 0.00641025641025641
p(a | during) = 0.006485849056603773
p(lengthy | a) = 0.003155479059093517
p(visit | lengthy) = 0.006485849056603773
p(to | visit) = 0.006485849056603773
p(warsaw | to) = 0.003093363329583802
p(i | warsaw) = 0.006447831184056271
p(the | made) = 0.006228765571913929
p(acquaintance | the) = 0.002133436772692009
p(of | acquaintance) = 0.006485849056603773
p(well | the) = 0.002133436772692009
p(known | well) = 0.006159014557670772
p(adventuress | known) = 0.006485849056603773
p(irene | adventuress) = 0.006485849056603773
p(responded | she) = 0.004811898512685914
p(beautifully | responded) = 0.006485849056603773
p(</s> | beautifully) = 0.006485849056603773
p(pray | <s>) = 0.004003049942813572
p(take | pray) = 0.006447831184056271
p(a | take) = 0.006264236902050114
p(seat | a) = 0.003155479059093517
p(said | seat) = 0.006485849056603773
p(drove | they) = 0.005991285403050109
p(away | drove) = 0.006447831184056271
p(in | away) = 0.0063364055299539165
p(different | in) = 0.0037722908093278463
p(directions | different) = 0.006447831184056271
p(and | directions) = 0.006485849056603773
p(went | i) = 0.0030170049369171695
p(off | went) = 0.006485849056603773
p(to | off) = 0.006447831184056271
p(my | make) = 0.006300114547537227
p(arrangements | own) = 0.005958829902491874
p(which | arrangements) = 0.006485849056603773
p(some | are) = 0.005832449628844114
p(cold | some) = 0.006090808416389811
p(beef | cold) = 0.006447831184056271
p(and | beef) = 0.006485849056603773
p(glass | a) = 0.003155479059093517
p(of | glass) = 0.006447831184056271
p(beer | of) = 0.003102086858432036
p(he | beer) = 0.006485849056603773
p(answered | he) = 0.008413461538461538
p(ringing | answered) = 0.006373117033603708
p(the | ringing) = 0.006485849056603773
p(she | if) = 0.005771248688352571
p(there | majesty) = 0.005991285403050109
p(reason | no) = 0.00605726872246696
p(why | reason) = 0.006485849056603773
p(she | why) = 0.006300114547537227
p(should | she) = 0.004811898512685914
p(interfere | should) = 0.006090808416389811
p(with | interfere) = 0.006447831184056271
p(your | with) = 0.004986400725294651
p(s | majesty) = 0.005991285403050109
p(plan | s) = 0.005926724137931034
p(it | plan) = 0.006447831184056271
p(true | is) = 0.004610226320201173
p(</s> | true) = 0.006485849056603773
p(scribbled | holmes) = 0.005350194552529183
p(a | scribbled) = 0.006485849056603773
p(receipt | a) = 0.003155479059093517
p(upon | receipt) = 0.006485849056603773
p(note | his) = 0.004424778761061947
p(book | note) = 0.006228765571913929
p(and | book) = 0.006485849056603773
p(handed | and) = 0.002984264785675529
p(it | handed) = 0.006485849056603773
p(to | it) = 0.007177033492822967
p(him | to) = 0.01152980877390326
p(lawyer | a) = 0.003155479059093517
p(well | <s>) = 0.004003049942813572
p(really | well) = 0.006159014557670772
p(he | really) = 0.00641025641025641
p(and | cried) = 0.012027491408934707
p(then | and) = 0.002984264785675529
p(he | then) = 0.010681586978636826
p(choked | he) = 0.004407051282051282
p(and | choked) = 0.006485849056603773
p(again | laughed) = 0.00641025641025641
p(until | again) = 0.006373117033603708
p(he | until) = 0.006373117033603708
p(obliged | was) = 0.004110612855007474
p(to | obliged) = 0.006485849056603773
p(lie | to) = 0.003093363329583802
p(back | lie) = 0.006485849056603773
p(limp | back) = 0.006264236902050114
p(and | limp) = 0.006485849056603773
p(helpless | and) = 0.002984264785675529
p(in | helpless) = 0.006485849056603773
p(chair | the) = 0.002133436772692009
p(</s> | chair) = 0.006447831184056271
p(there | then) = 0.005595116988809766
p(loud | a) = 0.003155479059093517
p(and | loud) = 0.006485849056603773
p(authoritative | and) = 0.002984264785675529
p(tap | authoritative) = 0.006485849056603773
p(</s> | tap) = 0.006485849056603773
p(did | you) = 0.007847533632286996
p(it | did) = 0.012027491408934707
p(very | it) = 0.007177033492822967
p(nicely | very) = 0.00580168776371308
p(doctor | nicely) = 0.006485849056603773
p(he | doctor) = 0.0063364055299539165
p(</s> | remarked) = 0.017754868270332187
p(dress | his) = 0.004424778761061947
p(was | dress) = 0.006447831184056271
p(rich | was) = 0.004110612855007474
p(with | rich) = 0.006447831184056271
p(richness | a) = 0.003155479059093517
p(which | richness) = 0.006485849056603773
p(would | which) = 0.005149812734082397
p(in | would) = 0.0058949624866023575
p(england | in) = 0.0037722908093278463
p(be | england) = 0.006485849056603773
p(looked | be) = 0.005198487712665407
p(upon | looked) = 0.006300114547537227
p(as | upon) = 0.005832449628844114
p(akin | as) = 0.005198487712665407
p(bad | to) = 0.003093363329583802
p(taste | bad) = 0.006447831184056271
p(</s> | taste) = 0.006485849056603773
p(even | <s>) = 0.0020968356843309188
p(after | even) = 0.006373117033603708
p(i | after) = 0.006373117033603708
p(became | i) = 0.0030170049369171695
p(suspicious | became) = 0.006485849056603773
p(i | suspicious) = 0.006485849056603773
p(it | found) = 0.006228765571913929
p(hard | it) = 0.0037593984962406017
p(to | hard) = 0.006485849056603773
p(evil | think) = 0.006264236902050114
p(of | evil) = 0.006485849056603773
p(a | such) = 0.006264236902050114
p(dear | a) = 0.003155479059093517
p(kind | dear) = 0.0063364055299539165
p(old | kind) = 0.006485849056603773
p(clergyman | old) = 0.00641025641025641
p(</s> | clergyman) = 0.006373117033603708
p(sit | <s>) = 0.0020968356843309188
p(down | sit) = 0.006485849056603773
p(armchair | that) = 0.004270186335403727
p(doctor | armchair) = 0.006373117033603708
p(and | doctor) = 0.0063364055299539165
p(give | and) = 0.002984264785675529
p(us | give) = 0.006447831184056271
p(your | us) = 0.006264236902050114
p(best | your) = 0.005511022044088176
p(attention | best) = 0.006373117033603708
p(a | attention) = 0.00641025641025641
p(slow | a) = 0.003155479059093517
p(and | slow) = 0.006485849056603773
p(heavy | and) = 0.002984264785675529
p(step | heavy) = 0.006373117033603708
p(which | step) = 0.006485849056603773
p(heard | been) = 0.005652620760534429
p(upon | heard) = 0.006228765571913929
p(stairs | the) = 0.002133436772692009
p(and | stairs) = 0.006485849056603773
p(passage | the) = 0.002133436772692009
p(paused | passage) = 0.006485849056603773
p(immediately | paused) = 0.006485849056603773
p(outside | immediately) = 0.006485849056603773
p(the | outside) = 0.006485849056603773
p(it | it) = 0.0037593984962406017
p(s | it) = 0.0037593984962406017
p(quite | s) = 0.005926724137931034
p(too | quite) = 0.01195899772209567
p(funny | too) = 0.006264236902050114
p(</s> | funny) = 0.006485849056603773
p(admirable | were) = 0.005771248688352571
p(things | admirable) = 0.006485849056603773
p(for | things) = 0.006447831184056271
p(observer | the) = 0.002133436772692009
p(excellent | observer) = 0.006485849056603773
p(for | excellent) = 0.00641025641025641
p(drawing | for) = 0.005350194552529183
p(the | drawing) = 0.006447831184056271
p(veil | the) = 0.002133436772692009
p(from | veil) = 0.006485849056603773
p(men | from) = 0.005376344086021505
p(motives | s) = 0.005926724137931034
p(and | motives) = 0.006485849056603773
p(actions | and) = 0.002984264785675529
p(</s> | actions) = 0.006485849056603773
p(way | this) = 0.01062753036437247
p(please | way) = 0.006300114547537227
p(slowly | please) = 0.006485849056603773
p(and | slowly) = 0.006447831184056271
p(solemnly | and) = 0.002984264785675529
p(he | solemnly) = 0.006485849056603773
p(borne | was) = 0.004110612855007474
p(into | borne) = 0.006485849056603773
p(briony | into) = 0.005771248688352571
p(and | lodge) = 0.011824324324324323
p(out | laid) = 0.00641025641025641
p(principal | the) = 0.002133436772692009
p(room | principal) = 0.006485849056603773
p(while | room) = 0.005958829902491874
p(still | i) = 0.0030170049369171695
p(observed | still) = 0.006264236902050114
p(the | observed) = 0.00641025641025641
p(proceedings | the) = 0.002133436772692009
p(from | proceedings) = 0.006485849056603773
p(my | from) = 0.005376344086021505
p(post | my) = 0.004790940766550522
p(by | post) = 0.006447831184056271
p(window | the) = 0.00795190069821567
p(beyond | <s>) = 0.0020968356843309188
p(these | beyond) = 0.006485849056603773
